Judet,Rata_somaj,Abreviere
Bihor,1.2,BH
Bistrita-Nasaud,3.1,BN
Cluj,1.2,CJ
Maramures,1.7,MM
Satu Mare,3.2,SM
Salaj,4.2,SJ
Alba,3.2,AB
Brasov,2.0,BV
Covasna,4.3,CV
Harghita,3.5,HR
Mures,2.3,MS
Sibiu,1.8,SB
Bacau,3.1,BC
Botosani,2.1,BT
Iasi,2.8,IS
Neamt,3.2,NT
Suceava,4.5,SV
Vaslui,6.6,VS
Braila,2.9,BR
Buzau,4.7,BZ
Constanta,2.1,CT
Galati,5.7,GL
Tulcea,2.9,TL
Vrancea,3.8,VN
Arges,3.1,AG
Calarasi,3.2,CL
Dambovita,2.3,DB
Giurgiu,2.4,GR
Ialomita,4.2,IL
Prahova,2.0,PH
Teleorman,6.3,TR
Ilfov,1.1,IL
Dolj,5.9,DJ
Gorj,3.0,GJ
Mehedinti,5.5,MH
Olt,4.6,OT
Valcea,3.0,VL
Arad,1.3,AR
Caras-Severin,2.2,CS
Hunedoara,3.9,HD
Timis,0.7,TM
