locatie,detalii,pret
"Bucuresti, IF, Prelungirea Ghencea",3 camere  •  84 m²  •  etajul 4/5  •  2009  •  decomandat,79.000 eur
"Bucuresti, IF, Berceni",3 camere  •  64 m²  •  etajul 2/4  •  1974  •  semidecomandat,87.900 eur
"Bucuresti, IF, Berceni",3 camere  •  64 m²  •  etajul 4/4  •  1976  •  semidecomandat,74.500 eur
"Iasi, IS, Cug",3 camere  •  55 m²  •  etajul 3  •  2019  •  semidecomandat,81.500 eur
"Bucuresti, IF, Tineretului",1 cameră  •  34 m²  •  etajul 9/10  •  1981  •  decomandat,65.500 eur
"Bragadiru, IF, Haliu",2 camere  •  55 m²  •  etajul 2  •  2020  •  decomandat,42.000 eur
"Floresti, CJ, Nord",2 camere  •  50 m²  •  etajul 5/1  •  2021  •  decomandat,55.000 eur
"Mamaia, CT, Central",2 camere  •  51 m²  •  etajul 5/8  •  2021  •  decomandat,120.000 eur
"Pitesti, AG, Popa Sapca",2 camere  •  48 m²  •  etajul 4/4  •  1987  •  decomandat,62.900 eur
"Sibiu, SB, Central",2 camere  •  40 m²  •  etajul 5/5  •  2009  •  nedecomandat,45.000 eur
"Targu Jiu, GJ, Teilor",4 camere  •  57 m²  •  etajul 3  •  1975  •  decomandat,63.000 eur
"Ploiesti, PH, Eminescu",3 camere  •  76 m²  •  etajul 1/3  •  2020  •  decomandat,125.000 eur
"Sibiu, SB, Central",4 camere  •  110 m²  •  etajul 6/6  •  2010  •  decomandat,122.500 eur
"Brasov, BV, Scriitorilor",3 camere  •  60 m²  •  etajul 4  •  1980  •  decomandat,83.000 eur
"Deva, HD, Micro 15",2 camere  •  36 m²  •  etajul 2  •  1970  •  semidecomandat,35.000 eur
"Oradea, BH, Dacia",2 camere  •  57 m²  •  etajul 7/8  •  1988  •  decomandat,89.000 eur
"Bucuresti, IF, Politehnica",2 camere  •  55 m²  •  etajul 1/11  •  2018  •  decomandat,135.000 eur
"Bucuresti, IF, Banu Manta",2 camere  •  53 m²  •  etajul 5/10  •  1984  •  semidecomandat,144.000 eur
"Brasov, BV, Bartolomeu",3 camere  •  60 m²  •  etajul 2  •  1980  •  decomandat,88.000 eur
"Bucuresti, IF, Brancoveanu",2 camere  •  52 m²  •  etajul 2/3  •  2018  •  decomandat,92.500 eur
"Cluj-Napoca, CJ, Gheorgheni",2 camere  •  55 m²  •  etajul 7/8  •  2018  •  semidecomandat,178.000 eur
"Bucuresti, IF, Mihai Bravu",3 camere  •  56 m²  •  etajul 2  •  1975  •  decomandat,122.000 eur
"Iasi, IS, Podu Ros",2 camere  •  54 m²  •  etajul 2/4  •  1977  •  semidecomandat,55.000 eur
"Galati, GL, Micro 16",3 camere  •  62 m²  •  etajul 2/4  •  1970  •  decomandat,73.000 eur
"Cluj-Napoca, CJ, Baciu",2 camere  •  55 m²  •  etajul 4/4  •  1990  •  semidecomandat,72.500 eur
"Oradea, BH, Central",2 camere  •  48 m²  •  etajul 3/4  •  1975  •  decomandat,57.900 eur
"Iasi, IS, Canta",3 camere  •  73 m²  •  etajul 3/3  •  1982  •  decomandat,99.900 eur
"Timisoara, TM, Braytim",3 camere  •  65 m²  •  etajul 3/3  •  2021  •  decomandat,89.000 eur
"Brasov, BV, Judetean",3 camere  •  64 m²  •  etajul 3  •  1982  •  decomandat,94.900 eur
"Brasov, BV, Astra",2 camere  •  55 m²  •  etajul 4  •  1980  •  decomandat,77.500 eur
"Iasi, IS, Podu Ros",3 camere  •  58 m²  •  etajul 1/4  •  1990  •  semidecomandat,57.000 eur
"Cluj-Napoca, CJ, Central",2 camere  •  69 m²  •  etajul 3/4  •  2006  •  decomandat,160.000 eur
"Bucuresti, IF, Aparatorii Patriei",2 camere  •  44 m²  •  etajul 5/5  •  2018  •  semidecomandat,85.500 eur
"Bucuresti, IF, Basarabia",2 camere  •  51 m²  •  etajul 1  •  1982  •  decomandat,79.500 eur
"Brasov, BV, Grivitei",3 camere  •  70 m²  •  etajul 5  •  2018  •  decomandat,255.000 eur
"Bucuresti, IF, Militari",2 camere  •  47 m²  •  etajul 1/4  •  1976  •  decomandat,57.700 eur
"Bucuresti, IF, Titan",2 camere  •  54 m²  •  etajul 8  •  1974  •  semidecomandat,70.000 eur
